title,keywords
2046,"free love, hotel, lovesickness, sexuality, kung fu, android, soulmates, based on novel, hotel room, jealousy, love of one's life, restart, singapur, unsociability, secret love, murder, author, hong kong, break-up, illegal prostitution, extramarital affair, photographic memory, fantasy, drama, science fiction, romance"
21,"drama, crime, gambling, card game, professor, harvard university, cohabitant, college, girlfriend, studies, dormitory, friendship, blackjack"
21 & Over,"comedy, alcohol, birthday, debauchery"
21 Grams,"life and death, transplantation, suicide attempt, desperation, loss of family, ex-detainee, sadness, rage and hate, car crash, drama, thriller, crime"
21 Jump Street,"action, comedy, crime, male friendship, high school, parody, crude humor, based on tv series, undercover cop, buddy cop, buddy comedy, duringcreditsstinger"
22 Jump Street,"action, comedy, crime, high school, undercover cop, buddy comedy, aftercreditsstinger, duringcreditsstinger"
24 7: Twenty Four Seven,"drama, comedy, romance, transporter, sport, friends, nottingham"
25th Hour,"drama, crime, prison, prisoner, dream, drug dealer, nightclub, american dream, male friendship, melancholy, girlfriend, friendship, aftercreditsstinger"
27 Dresses,"comedy, romance, lovesickness, newspaper, bar, sister sister relationship, new love, wedding planer, witness, bride, bridesmaid, sister, music, romantic comedy, sibling rivalry, reporter, wedding, woman director"
28 Days,"alcoholism, urteil, car crash, wedding, withdrawal, woman director, drama, comedy"
28 Days Later,"horror, thriller, science fiction, london england, manchester city, submachine gun, gas station, survivor, daughter, zombie, virus"
28 Weeks Later,"london england, loss of mother, loss of family, mutant, pest, dying and death, chaos, parts of dead body, survivor, supernatural, survival, on the run, zombie, danger, escapade, virus, plague, female corpse, siblings relations, deadly, chases and races, chaos and mayham, human nature, horror, thriller, science fiction"
3 Backyards,"drama, independent film"
3 Days to Kill,"drama, action, thriller, crime, retirement, secret service, illegal drugs"
3 Ninjas Kick Back,"adventure, action, comedy, family, underdog, hero, friendship, treasure hunt, friends, revenge, rivalry, good vs evil, youth, danger, escapade, young heroes, siblings relations, vigilantism, heroic mission, buddies, master villain, master warrior, contests and competitions"
3 Strikes,"sport, action, comedy, romance"
3:10 to Yuma,"western, saloon, hero, liberation of prisoners, transport of prisoners, wilderness, dying and death, race against time, railway car, stetson, rivalry, gang, gunfight, crime, family, psychological, dishonesty, heroic mission, righting the wronged, chases and races, parents and children, mind and soul"
30 Days of Night,"sunrise, winter, vampire, marriage crisis, alaska, based on graphic novel, blizzard, blood lust, polar night, horror, thriller"
30 Minutes or Less,"adventure, action, comedy, pizza delivery, adventure, pizza boy, number in title, comedy, aftercreditsstinger"
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,"comedy, parody, horror comedy"
300,"evisceration, javelin, shield, army, fall from height, ancient world, s.a.t., minions, adventure, action, war"
300: Rise of an Empire,"action, war, based on graphic novel, ancient greece, duringcreditsstinger, sea battle, hand to hand combat, minions, naval warfare, 3d"
3000 Miles to Graceland,"casino, submachine gun, hold-up robbery, elvis, reference to elvis presley, duringcreditsstinger, adventure, action, comedy, thriller, crime"
"4 luni, 3 saptamîni ?i 2 zile","drama, rape, hotel room, totalitarian regime, cohabitant, female friendship, dormitory, best friend, contraception, romanian new wave"
4: Rise of the Silver Surfer,"fire, helicopter, surfboard, mask, satellite, airplane, transformation, forest, resurrection, marvel comic, sequel, superhero, based on comic book, outer space, wedding, explosion, scientist, interrogation, double cross, fantastic four, military, earth in peril, superhuman strength, duringcreditsstinger, invisibility, silver surfer, forcefield, elasticity, absorbing power, adventure, fantasy, action, thriller"
40 Days and 40 Nights,"comedy, romance, sex addiction, laundromat"
42,"drama, baseball, biography, sport, brooklyn dodgers"
42nd Street,"comedy, music, romance, philadelphia, musical, stage show, director, broken ankle, chorus line, pet dog, broadway, fainting, chorus girl, opening night, crutch, theatrical backer, eviction, show producer, chorine, plaster cast, show must go on, financial crisis, sock on the jaw"
47 Ronin,"japan, suicide, samurai, based on true story, samurai sword, ronin, shogun, half breed, 3d, adventure, fantasy, drama, action"
5 Days of War,"drama, war, journalist, interpreter, georgia europe, war zone"
50 First Dates,"comedy, romance, deja vu, amnesia, hawaii, ladykiller, romantic comedy"
50/50,"drama, comedy, painter, father son relationship, therapist, cancer, psychologist, best friend, doctor, patient, vomiting, driver's license, chemotherapy, therapist patient relationship"
51 Birch Street,documentary
54,"drama, music, new york, sex, nightclub, money, drug, disco"
55 Days at Peking,"siege, epic, beijing, drama, action, history"
8 Days,"drama, thriller, christian film, sex trafficking"
8 femmes,"upper class, women, father murder, daughter, maid, father figure, murder hunt, comedy, thriller, crime, mystery, music"
8 Heads in a Duffel Bag,"comedy, crime, mexico, vacation, murder, head"
8 Mile,"drama, individual, street gang, adolescence, rap music, hip-hop, rhyme battle, trailer park, ethnic stereotype, single, detroit, eminem"
8: The Mormon Proposition,"documentary, independent film"
88 Minutes,"fbi, professor, ladies' man, medical examiner, serial killer, lecture, thriller, crime, mystery"
8MM,"thriller, crime, mystery, pornography, porn actor, loss of daughter, child pornography, private investigator, subculture, private detective"
9,"man vs machine, hope, post-apocalyptic, dystopia, friendship, war, steampunk, coward, end of world, rag doll, adventure, animation, action, thriller, science fiction"
90 Minutes in Heaven,"drama, hospital, church"
A Beautiful Mind,"individual, schizophrenia, massachusetts, love of one's life, intelligence, mathematician, market economy, economic theory, princeton university, nobel prize, mathematical theorem, m.i.t., mathematics, delusion, drama, romance"
A Beginner's Guide to Snuff,"horror, comedy, thriller, snuff"
A Better Life,"drama, california, garden, immigrant, truck, illegal immigrant, gardener, stolen truck"
A Bridge Too Far,"netherlands, world war ii, panzer, british soldier, drama, history, war"
A Bug's Life,"adventure, animation, comedy, family, winter, fight, ant, invention, collector, ant-hill, kids and family, grass, duringcreditsstinger"
A Charlie Brown Christmas,"holiday, christmas, animation, comedy, family, tv movie"
A Christmas Carol,"animation, drama, holiday, based on novel, victorian england, money, christmas eve, scrooge, christmas carol, ghost, lesson, charles dickens, christmas"
A Christmas Story,"comedy, family, holiday, nostalgia, young boy, bb gun, essay, christmas tree dealer, mall santa, christmas, 1940s"
A Cinderella Story,"comedy, jealousy, cinderella, work, step mother, high school, school party, orphan, teenager, disguise, american football player, teenage romance, step sister, modern fairy tale"
A Civil Action,"success, advancement, right and justice, leukemia, lawyer, business start-up, drama"
A Cock and Bull Story,"drama, comedy, adaptation, film in a film"
A Dangerous Method,"based on novel, psychoanalysis, sigmund freud, biography, spanking, based on play, cigar smoking, cheating husband, based on true events, drama, thriller"
A Dog Of Flanders,"drama, family"
A Dog's Breakfast,"comedy, independent film"
A escondidas,"drama, romance"
A Farewell to Arms,"drama, romance, war, italy, nurse, love letter, officer, priest, escape, hospital, best friend, pre-code, air raid, ambulance driver, battle of the isonzo, air attack"
A Few Good Men,"drama, suicide, underdog, suspicion of murder, court case, navy, law, dying and death, guantanamo bay, marine corps, military court, code red, command, military base, u.s. navy, sexism, right and justice, based on play, court martial, flashback, platoon leader, military law"
A Fine Step,drama
A Funny Thing Happened on the Way to the Forum,"comedy, music, virgin, ancient rome, freedom, sondheim, slave, based on stage musical, slave owner"
A Good Day to Die Hard,"bomb, cia, russia, escape, courthouse, rogue, moscow, action, thriller"
A Good Year,"drama, comedy, romance, provence, wine cellar, vineyard, wine garden, wine, winegrower"
A Guy Named Joe,"pilot, airplane, ghost, drama, romance, war"
A Guy Thing,"comedy, romance, infidelity, bachelor, blackmail, fantasy, truth, party, liar, friends, misunderstanding, wedding, fiancu00e9e"
A Hard Day's Night,"comedy, music, adolescence, culture clash, press conference, behind the scenes, police chase, mockumentary, older man younger woman relationship, shaving, the beatles song, railway station, performer, psychotronic, generation gap, television director"
A Haunted House,"horror, comedy, horror spoof, found footage, duringcreditsstinger"
A Haunted House 2,"haunted house, horror, comedy"
A History of Violence,"robbery, double life, dual identity, small town, indiana, distrust, fight, self-defense, marriage, family relationships, mistaken identity, diner, lawyer, mobster, violence, attempted robbery, drama, thriller, crime"
A Home at the End of the World,"drama, romance, gay, aids, based on novel, art house, tantrum, bisexual, lgbt"
A Knight's Tale,"poetry, knight, tournament, duel, torture, writer, impostor, church, game, jousting, aftercreditsstinger, adventure, drama, action, romance"
A League of Their Own,"comedy, baseball, world war ii, sport, baseball player, female athlete, home front, woman director, 1940s"
A LEGO Brickumentary,"documentary, pop culture, fan culture, documentary, toys"
A Lonely Place to Die,"terror, scotland, kidnapping, nudity, wilderness, mountaineer, hiking, climbing, torture, adventure, action, thriller, crime"
A Lot Like Love,"comedy, new york, shyness, career, flight, romantic comedy, travel, male female relationship, los angeles"
A Low Down Dirty Shame,"fbi, drug crime, violence, drug, private detective, blast, action, comedy, crime"
A Madea Christmas,"drama, comedy, christmas"
A Man Apart,"drama, action, repayment, arbitrary law, cop, loss of wife"
A Man for All Seasons,"drama, history, england, pope, beheading, death penalty, thomas more, protestant church, thomas cromwell, oath, henry viii"
A Mighty Heart,"terror, journalism, new love, sadness, fbi, despair, hostage drama, support, hope, friendship, faith, loss, pakistan, murder, independent film, pregnancy, drama, thriller"
A Mighty Wind,"comedy, music, mockumentary, folk singer"
A Million Ways to Die in the West,"comedy, western, gunslinger, farmer, wild west, laxative"
A Most Violent Year,"corruption, capitalism, winter, american dream, immigrant, business ethics, truck, oil, lawyer, new york city, loan shark, coat, tunnel, 1980s, husband wife relationship, truck hijacking, bank loan, drama, thriller, crime"
A Most Wanted Man,"thriller, terror, muslim, intelligence, immigrant, torture, surveillance, security"
A Night at the Roxbury,"comedy, night life, nightclub, flower, flower shop, make a match, clubbing"
A Nightmare on Elm Street,"horror, child murderer, sleep, nightmare, supernatural, slasher, teenager, trapped, alcoholic, boiler room, booby trap, disfigurement, medical test, dreams"
A Nightmare on Elm Street 3: Dream Warriors,"horror, thriller, group therapy, nightmare, hypnosis, trapped, alcoholic, mental illness, catholicism, disfigurement, sleepwalking, mental hospital, psychotherapist, dreams"
A Nightmare on Elm Street 4: The Dream Master,"martial arts, nightmare, supernatural, high school, resurrection, sequel, diner, alcoholic, disfigurement, dreams, horror, thriller"
A Nightmare on Elm Street 5: The Dream Child,"horror, thriller, nun, baby, monster, asylum, nightmare, supernatural, resurrection, vision, torture, pregnancy, birth, disfigurement, fetus, womb, dreams"
A Nightmare on Elm Street Part 2: Freddy's Revenge,"gay, dancing, fire, diary, nightmare, haunted house, transformation, supernatural, high school, party, possession, premonition, spontaneous combustion, bdsm, school bus, disfigurement, sleepwalking, dreams, horror"
A Passage to India,"adventure, drama, history, doctor, india, english, magistrate, 1920s, mosque"
A Perfect Getaway,"hawaii, honeymoon, double murder, murder, adventure, thriller, mystery"
A Prairie Home Companion,"drama, comedy, music, usa, country music, commercial, radio presenter, radio transmission, bu00fchnenauftritt, backstage, singer"
A Room for Romeo Brass,"rejection, friendship, youth, drama, comedy, foreign"
A Room with a View,"drama, romance, kiss, bed and breakfast place, florence"
A Scanner Darkly,"california, detective, based on novel, dream, undercover, cocaine, brain, exam, future, test, dystopia, assignment, cyberpunk, drug, surveillance, totalitarian, corporation, substance, schizophrenic, condition, neo-noir, animation, thriller, science fiction"
A Serious Man,"drama, comedy, professor, dark comedy, telephone call, aftercreditsstinger, 1960s"
A Shine of Rainbows,"orphan, rainbow, drama, family"
A Simple Plan,"drama, thriller, crime, brother brother relationship, money delivery, airplane, greed, friendship, suspense, financial transactions"
A Simple Wish,"magic, wish, kids, fairy godmother, adventure, fantasy, comedy, family"
A Single Man,"drama, romance, gay, based on novel, suicidal, death of lover, teacher student relationship, grieving, 1960s"
A Sound of Thunder,"dying and death, time travel, romance, dinosaur, adventure, action, thriller, science fiction"
A Streetcar Named Desire,"drama, southern usa, rape, sister sister relationship, loss of sense of reality, brother-in-law, violent husband, new orleans, middle aged woman, brother-in-law sister-in-law relationship, light bulb, expectant father, off screen rape"
A Thin Line Between Love and Hate,"comedy, thriller, crime, romance, revenge, african american, dating"
A Thousand Words,"liar, literary agent, drama, comedy"
A Time to Kill,"drama, thriller, crime, ku klux klan, rape, mississippi, jurors, blackmail, attempted murder, forgiveness, court, shooting, murder, suspense, lawyer, trial, courtroom, racial tension, kkk, racial issues, courtroom drama"
A True Story,comedy
A Very Harold & Kumar Christmas,"comedy, holiday, indian lead, beer, christmas tree, cannabis, sequel, vulgarity, drug, asian, 3d, beer pong"
A View to a Kill,"adventure, action, thriller, paris, london england, france, england, san francisco, horse race, fire, helicopter, drug abuse, terrorist, secret identity, firemen, fire engine, villain, ascot, silicon valley, zeppelin, earthquake, snowboarding, microchip, doping, racehorse, flooding, pipeline, snow, british secret service, skiing"
A Walk Among the Tombstones,"drama, thriller, crime, mystery, based on novel, murder, mafia, private investigator, new york city, alcoholic, kingpin, wife murder, matt scudder"
A Walk on the Moon,"drama, romance, adultery, woodstock, 1960s"
A Walk to Remember,"based on novel, theatre group, north carolina, theatre milieu, high school, cancer, coming of age, tragic love, teenager, star crossed lovers, drama, romance"
A.I. Artificial Intelligence,"adventure, drama, science fiction, artificial intelligence, prophecy, prostitute, android, loss of mother, extraterrestrial technology, ice age, adoption, fairy tale, pinocchio, prosecution, gigolo, hologram, dystopia, alien, destiny, capture, doppelganger"
Abandon,"drama, thriller, mystery, alcohol, detective, dancer, nightmare, college, job, party, elite, suspense, drug, boyfriend, thesis, pressure"
Abandoned,"drama, thriller, supervivencia"
Abduction,"action, thriller, mystery, cia, airport, hero, fight, kidnapping, time bomb, training, webcam, website, party, on the run, hospital, train, teenager"
Aberdeen,"alcohol, cocaine, daughter, road trip, independent film, lawyer, drama, comedy, foreign"
About a Boy,"drama, comedy, romance, london england, rock and roll, single parent, rap music, bachelor, becoming an adult, friendship, single"
About Last Night,"comedy, romance, duringcreditsstinger"
About Schmidt,"drama, comedy, wife husband relationship, channel surfing, mullet, spiritual journey, life changing, pioneer village, family gathering"
About Time,"drama, comedy, science fiction, london england, father son relationship, time travel"
Abraham Lincoln: Vampire Hunter,"fantasy, horror, action, usa president, vampire, steam locomotive, american civil war, 19th century, abraham lincoln, 3d"
Absentia,"pregnancy, declared dead, returned alive, horror, thriller, mystery"
Absolute Power,"drama, thriller, crime, corruption, assassination, washington d.c., rape, white house, usa president, daughter, government, suspense, secret service, secret service agent"
Accidental Love,"comedy, romance, one-night stand, romantic comedy, accidental love"
Ace Ventura: Pet Detective,"comedy, mystery, dolphin, mascot, private detective, pets"
Ace Ventura: When Nature Calls,"africa, indigenous, human animal relationship, bat, adventure, comedy, crime"
Across the Universe,"adventure, drama, music, romance, riot, protest, musical, music, cultural difference, university, fantasy sequence, anti war, police arrest, march, woman director, 1960s"
Act of Valor,"submarine, navy, scuba diving, heroism, navy seal, pistol, secret plot, military life, valor, terrorist plot, navy life, national security, pregnant wife, silver star, counter plot, duringcreditsstinger, action, thriller, war"
Action Jackson,"adventure, drama, action, comedy, crime, showdown, suspicion of murder, boxer, suspension, organized crime, shootout, car chase, detroit, drug addict, one against many, megalomaniac, maverick cop, framed for murder, bar fight, exploding boat, action hero"
Adam,"children's book, asperger's syndrome, electrical engineer, asperger's, drama, romance"
Adam Resurrected,"drama, war, holocaust, nazis, israeli"
Adaptation.,"alligator, marriage crisis, writer's block, orchid, drama, comedy, crime"
Addicted,"drama, thriller, infidelity, obsession, lie, sin, interracial relationship, cheating wife, lust, attraction, deceit, temptation, hipersexualidad, faithful husband"
Admission,"princeton university, admissions, drama, comedy, romance"
Adore,"drama, lovers, woman director"
Adulterers,"drama, thriller, crime"
Adventureland,"comedy, comedy, cheating on partner, amusement park, summer job, carny, marijuana joint, baldness, picking one's nose, reckless driving, reconciliation, pushing a car, marijuana pipe, ticket booth, scene, raised middle finger, job seeking, leaving home, drugged cookie, duringcreditsstinger, young adult, 1980s"
Æon Flux,"martial arts, dystopia, surrealism, based on cartoon, shootout, espionage, infertility, cyberpunk, extreme violence, sabotage, one against many, woman director, hand to hand combat, action heroine, human cloning, 25th century, action, science fiction"
After,"thriller, mystery, coma, crash, accepting death"
After Earth,"dystopia, adventure, action, science fiction"
After the Sunset,"drama, action, comedy, crime, bahamas, master thief, crook couple"
After.Life,"wheelchair, nightmare, funeral, injection, crying, casket, shovel, lily, argument, crucifix, woman director, drama, horror, thriller, mystery"
Against the Ropes,"drama, romance, biography, sport"
Against the Wild,"adventure, family, cave, plane wreck, salmon, bears, northern canada, wolves, alaskan malamute, dove family-approved"
Agent Cody Banks,"action, spy, cia, killer robot, delinquent, teen spy"
Agent Cody Banks 2: Destination London,"london england, cia, teenage hero, teen spy, cia agent, comedy"
Agora,"adventure, drama, history, christianity, philosophy, egypt, new love, war, cult, historical figure, history, sword fight, ancient world, destiny, fall in love, hypatia, misogyny, persecution, library of alexandria, political unrest, impossible love, false history, power relations, unfulfillment, master and servant, love and romance, unfulfilled love"
Aimee & Jaguar,"drama, history, romance, berlin, jew, forbidden love, lesbian relationship, homosexuality, lesbian interest"
Air Bud,"drama, comedy, family, clown, golden retriever, dog actor"
Air Force One,"prison, corruption, journalist, white house, hostage, ultimatum, hostage-taking, air force one, aerial combat, conspiracy, gunfight, fighter plane, secret service, american president, hand to hand combat, negotiation, political prisoner, airplane hijack, action, thriller"
Airborne,"adventure, action, comedy, sport, rollerblade"
Airlift,"drama, action, history, thriller, evacuation, war, based on true story, iraq war"
Airplane!,"chicago, alcohol, cataclysm, guitar, medicine, taxi driver, passenger, saxophone, stewardess, pilot, airplane, fear of flying, air controller, landing, autopilot, kiss, spoof, los angeles, alcohol abuse, aftercreditsstinger, anarchic comedy, comedy"
Ajami,"drama, crime"
Akeelah and the Bee,"drama, black people, spelling, spelling bee"
Aladdin,"adventure, fantasy, animation, comedy, romance, family, magic, musical, cartoon, princess, love, comedy, animation, monkey, arab, aftercreditsstinger, genie, animal sidekick"
Alatriste,action
Albert Nobbs,"drama, butler, dublin, maid"
Albino Alligator,"brother brother relationship, bar, gun, hostage, siege, police, suspense, drama, thriller, crime"
Alex & Emma,"comedy, romance, gambling, sex, casino, based on novel, vandalism, lie, kiss, love, disappearance, writer, death, fortune"
Alex Cross,"action, thriller, crime, mystery, ex military"
Alexander,"adventure, drama, action, history, romance, war, aristotle, egypt, greece, persia, elephant, campaign, alexander the great, homosexuality, gay relationship, ancient world"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","comedy, family, based on novel, job interview, bad luck, wish, one day, based on children's book, driver's test"
Alexander's Ragtime Band,"drama, music, romance, dance, ragtime, concert tour"
Alfie,"new york, cheating, flirt, lover, older woman seduces younger guy, playboy, comedy"
Ali,"drama, usa, transporter, boxer, biography, muhammad"
Alice in Wonderland,"based on novel, fictional place, queen, fantasy, alice in wonderland, fantasy world, 3d, adventure, fantasy, family"
Alice Through the Looking Glass,"fantasy, based on novel, clock, queen, sequel, alice in wonderland, dark fantasy, mad hatter, 3d"
Alien,"android, countdown, space marine, space suit, beheading, dystopia, biology, cowardice, spaceship, space, alien, female protagonist, outer space, parasite, h. r. giger, xenomorph, horror, action, thriller, science fiction"
Alien Zone,"horror, action, thriller, science fiction"
Alien: Resurrection,"horror, action, science fiction, android, mercenary, dystopia, sequel, alien, betrayal, impalement, cloning, scientist, flamethrower, disembowelment, smuggler, gene manipulation, man in wheelchair, breeding, genetic engineering, regeneration, xenomorph, alien queen, explosive decompression, swimming underwater"
Alien³,"prison, android, spacecraft, space marine, imprisonment, space colony, space travel, rottweiler, dystopia, sequel, alien, redemption, outer space, planet, shaved head, crash landing, impregnation, penal colony, furnace, suspended animation, xenomorph, horror, action, science fiction"
Aliens,"horror, action, thriller, science fiction, android, extraterrestrial technology, space marine, spaceman, cryogenics, vacuum, space colony, warrior woman, settler, space travel, colony, alien, xenomorph"
Aliens in the Attic,"adventure, fantasy, comedy, science fiction, family, alien, comedy, duringcreditsstinger, beforecreditsstinger, live action and animation"
Aliens vs Predator: Requiem,"fantasy, horror, action, thriller, science fiction, predator, national guard, hybrid, alien, morgue, alien possession, triangle, infestation, xenomorph"
Alive,"adventure, drama, action, thriller, rugby, stranded, survival, plane wreck, airplane crash, freezing, disaster movie"
All About Steve,"blind date, eccentric, aftercreditsstinger, crossword puzzle, mine shaft, comedy"
All About the Benjamins,"adventure, action, comedy, record store, sexuality, autograph, underwear, painting, safe, sexual attraction, motorcycle, juvenile delinquent, stoner, music store, hand on crotch, premarital sex, raised middle finger, employer employee relationship, cupcake, twenty something, money bag, sidewalk, storem"
All Good Things,"difficult childhood, patriarch, childhood trauma, dysfunctional marriage, drama, thriller, crime, mystery, romance"
All Hat,"drama, action, comedy, western, indian territory, horse, ranch, stetson, urbanisierung, best friend"
All Is Bright,"drama, comedy, christmas tree, salesman, french canadian"
All Is Lost,"yacht, sailor, storm at sea, unconsciousness, life raft, container, emergency, distress, very little dialogue, adventure, drama, action"
All or Nothing,"drama, comedy"
All Superheroes Must Die,"thriller, science fiction, superhero"
All That Jazz,"drama, music, show business, film making, tap dancing, movie in movie, divorce, tv show in film, stand-up comedian, broadway, rainstorm, surgery, dream sequence, editing, semi autobiographical, restroom, screening room, amphetamine, prescription drug abuse"
All the Boys Love Mandy Lane,"suicide attempt, gun, texas, mass murder, farm worker, planned murder, beauty, dying and death, fraud, plan, surprise, farm, victim of murder, conspiracy of murder, high school, murder, youth, beautiful girl, female corpse, horror, thriller, mystery"
All the King's Men,"drama, thriller, corruption, journalist, based on novel, blackmail, manipulation, bodyguard, louisiana, scandal, power, governor, politics, tragedy, mistress, aristocrat"
All the Pretty Horses,"drama, western, romance, dancing, chess, prisoner, coffin, wrong accusal, ranch, airplane, beating, jail, rifle, corpse, lasso, cautery"
All The Queen's Men,"transvestism, world war ii, drama, action, comedy, history"
All the Real Girls,"drama, romance, southern usa, small town, virgin, independent film, best friend"
Allegiant,"adventure, science fiction, based on novel, revolution, dystopia, sequel, dystopic future, young adult, based on young adult novel"
Alleluia! The Devil's Carnival,"carnival, musical, sequel, devil, dark carnival, horror, music"
Almost Famous,"hotel room, san diego, drug addiction, stewardess, overdose, groupie, music journalist, black sabbath, rock, concert, swimming pool, based on true story, promiscuity, coming of age, on the road, domineering mother, reconciliation, semi autobiographical, innocence lost, bus trip, aspiring writer, drama, music"
Aloft,"drama, new age, woman director, healer"
Aloha,"love triangle, hawaii, satellite, military, duringcreditsstinger, communication, drama, comedy, romance"
Alone in the Dark,"fantasy, horror, action, thriller, detective, monster, professor, island, museum, darkness, alien life-form, paranormal, artifact, slow motion scene, flashback sequence, zombie, based on video game, occultism"
Alone With Her,"obsession, hidden camera, stalker, independent film, invasion of privacy, voyeurism, drama, thriller, crime, romance"
Along Came a Spider,"action, thriller, crime, mystery, psychology, police operation, police, psychologist"
Along Came Polly,"comedy, romance, beach, honeymoon, bride, chance, risk, relation, long island, romantic comedy, comedy, scuba diving, unfaithfulness, los angeles, art gallery, dance class, opposites attract, caribbean, commitment, dance club, neurotic, bagpipes, chance encounter, insurance risk manager"
Along the Roadside,"comedy, music, romance, road movie"
Alpha and Omega,"animation, family, wolf, arranged marriage, forbidden love, road trip, park, park ranger, howling, social status"
Alpha and Omega: The Legend of the Saw Tooth Cave,"adventure, animation, comedy, family"
Alvin and the Chipmunks,"fantasy, animation, comedy, music, family, pop, pop star, record producer, surprise, approach, forest, music, concert, friendship, performance, chipmunk, talking animal, songwriter, talking to animals, duringcreditsstinger"
Alvin and the Chipmunks: Chipwrecked,"sequel, chipmunk, cruise ship, overboard, fantasy, animation, comedy, music, family"
Alvin and the Chipmunks: The Road Chip,"adventure, animation, comedy, family, chipmunk, cgi, talking animal, aftercreditsstinger, duringcreditsstinger"
Alvin and the Chipmunks: The Squeakquel,"fantasy, animation, comedy, music, family, chipmunk, cgi, based on tv series, aftercreditsstinger, duringcreditsstinger, woman director"
